LABEL,PHY_REGION,LAT,LON
Carpenter Comm Chrtr,N,34.1412645482263,-118.392898865253
Riverside Dr Chrtr,N,34.1586583924262,-118.41729784129
Lorena St,E,34.0255836369784,-118.203412028705
Malabar St,E,34.0441835133865,-118.19438039187
Mid-City Prescott Mag,W,34.0318227651812,-118.318273020187
Newcastle,N,34.1895625733763,-118.524383827865
Garfield High,E,34.0269349025375,-118.157801147856
King/Drew Medical Mag High,S,33.9245917534918,-118.245517238344
Open Mag Chrtr,W,33.9684471520946,-118.378057190701
Fleming Middle,S,33.7922388300709,-118.31336816248
Bandini St,S,33.7463647687604,-118.300024934054
Crestwood St STEAM Mag,S,33.7490916131691,-118.312456943043
San Pedro High,S,33.729915585087,-118.298620196262
Wonderland Ave,W,34.113928276009,-118.380064301182
West Hollywood,W,34.0891068539703,-118.38688675071
Dixie Canyon Comm Chrtr,N,34.1481541575488,-118.423967943869
Lankershim,N,34.1658475873263,-118.376405257231
Toluca Lake,N,34.1595695260811,-118.36054018429
Oxnard St,N,34.178591906168,-118.368499806442
6th Ave,W,34.0266254768233,-118.324172710326
Warner Ave,W,34.0695338005899,-118.433782511048
Sterry,W,34.0443393602263,-118.447322627523
Clover Ave,W,34.0265388511984,-118.424739602955
Palms Middle,W,34.0220946816408,-118.415347065116
Castle Heights,W,34.0384865596764,-118.398353636528
Los Angeles Tech Ctr,W,34.0401852927199,-118.325549542039
Primary Academy for Success,N,34.2352187101341,-118.455796594932
Paseo Del Rey Acad,W,33.9570019104655,-118.434073043533
Community Mag Chrtr,W,34.0818443705819,-118.462233052808
Lake Balboa Col Prep Mag,N,34.1930044054414,-118.501906492894
Gardner St,W,34.0993891106627,-118.352176248043
Selma Ave,W,34.1002012994845,-118.334631812421
Cheremoya Ave,W,34.1057124750266,-118.320841261429
Grant,W,34.0999492713168,-118.31248145657
Van Ness Ave,W,34.0803689257006,-118.316431235837
Eagle Rock,E,34.1363149412042,-118.212547046413
Rockdale VAPA Mag,E,34.1337186777168,-118.194117833194
Dahlia Heights,E,34.1389551127748,-118.199246482463
Valley View,W,34.1256094642321,-118.345526033739
Le Conte Middle,W,34.094867423675,-118.316884791275
Alexandria Ave,E,34.0783668820902,-118.298812568312
Evans Adult,E,34.0636538629118,-118.246194389714
Castelar St,E,34.0640362956195,-118.239656196618
